trade_id,source_id,entry_time_utc,exit_time_utc,pnl_usd,event_sequence,cumulative_pnl_usd,closed_peak_usd,closed_drawdown_usd
V9_BREAK_20210104T162000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-04T16:20:00Z,2021-01-05T09:50:00.000Z,-7.581380494309516,0,-7.581380494309516,-7.581380494309516,0.0
V7_20210105T115000Z_SHORT,V7_SWING_HEALTH,2021-01-05T11:50:00Z,2021-01-05T13:55:00.000Z,-4.105381944444444,1,-11.68676243875396,-7.581380494309516,4.105381944444443
V7_20210106T002000Z_SHORT,V7_SWING_HEALTH,2021-01-06T00:20:00Z,2021-01-06T01:05:00.000Z,-4.0859375,2,-15.77269993875396,-7.581380494309516,8.191319444444442
V9_BREAK_20210106T000500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-06T00:05:00Z,2021-01-06T01:25:00.000Z,-4.094444444444444,3,-19.867144383198404,-7.581380494309516,12.285763888888887
V9_BREAK_20210107T012500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-07T01:25:00Z,2021-01-07T06:35:00.000Z,-4.597009586411553,4,-24.464153969609956,-7.581380494309516,16.88277347530044
V7_20210107T073000Z_SHORT,V7_SWING_HEALTH,2021-01-07T07:30:00Z,2021-01-07T08:10:00.000Z,6.415277777777778,5,-18.04887619183218,-7.581380494309516,10.467495697522661
V7_20210108T003000Z_SHORT,V7_SWING_HEALTH,2021-01-08T00:30:00Z,2021-01-08T03:30:00.000Z,6.38125,6,-11.667626191832179,-7.581380494309516,4.086245697522663
V7_20210108T062000Z_LONG,V7_SWING_HEALTH,2021-01-08T06:20:00Z,2021-01-08T08:00:00.000Z,-4.0993055555555555,7,-15.766931747387734,-7.581380494309516,8.185551253078216
V9_BREAK_20210111T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11T00:15:00Z,2021-01-11T01:15:00.000Z,11.472478978302675,8,-4.2944527690850585,-4.2944527690850585,0.0
V9_BREAK_20210111T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11T01:35:00Z,2021-01-11T06:25:00.000Z,19.020093964346543,9,14.725641195261485,14.725641195261485,0.0
