field	value
exact_symbol	USDJPY
description	USD/JPY
digits	3
point	0.0010000000
tick_size	0.0010000000
tick_value	0.0000000000
tick_value_profit	0.0000000000
tick_value_loss	0.0000000000
contract_size	100000.0000
volume_min	0.01000000
volume_max	100.00000000
volume_step	0.01000000
stops_level	30
freeze_level	0
calculation_mode	0
margin_initial	0.00000000
margin_maintenance	0.00000000
currency_base	USD
currency_profit	JPY
currency_margin	USD
swap_mode	1
swap_long	9.32236224
swap_short	-22.66506624
triple_rollover_day	5
account_server	Capital.ComMena-Demo
account_currency	AED
account_leverage	50
account_margin_mode	2
