policy_id,horizon_ms,minimum_dxy_move_bps,minimum_xag_move_bps,maximum_initial_xau_move_bps,breakout_move_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H05000__DX010__AG100__XI010__BO200,5000,0.1,1.0,0.1,2.0,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H05000__DX010__AG100__XI010__BO300,5000,0.1,1.0,0.1,3.0,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H05000__DX010__AG100__XI025__BO200,5000,0.1,1.0,0.25,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H05000__DX010__AG100__XI025__BO300,5000,0.1,1.0,0.25,3.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H05000__DX010__AG100__XI050__BO200,5000,0.1,1.0,0.5,2.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H05000__DX010__AG100__XI050__BO300,5000,0.1,1.0,0.5,3.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H05000__DX010__AG100__XI075__BO200,5000,0.1,1.0,0.75,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H05000__DX010__AG100__XI075__BO300,5000,0.1,1.0,0.75,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H05000__DX010__AG100__XI100__BO200,5000,0.1,1.0,1.0,2.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H05000__DX010__AG100__XI100__BO300,5000,0.1,1.0,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H05000__DX010__AG200__XI010__BO200,5000,0.1,2.0,0.1,2.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX010__AG200__XI010__BO300,5000,0.1,2.0,0.1,3.0,22,20,0.9090909090909091,20,0.9090909090909091,12,8,0.4,True
H05000__DX010__AG200__XI025__BO200,5000,0.1,2.0,0.25,2.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX010__AG200__XI025__BO300,5000,0.1,2.0,0.25,3.0,22,21,0.9545454545454546,21,0.9545454545454546,15,6,0.2857142857142857,True
H05000__DX010__AG200__XI050__BO200,5000,0.1,2.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,7,14,0.3333333333333333,True
H05000__DX010__AG200__XI050__BO300,5000,0.1,2.0,0.5,3.0,22,21,0.9545454545454546,21,0.9545454545454546,14,7,0.3333333333333333,True
H05000__DX010__AG200__XI075__BO200,5000,0.1,2.0,0.75,2.0,22,22,1.0,22,1.0,5,17,0.22727272727272727,True
H05000__DX010__AG200__XI075__BO300,5000,0.1,2.0,0.75,3.0,22,21,0.9545454545454546,21,0.9545454545454546,13,8,0.38095238095238093,True
H05000__DX010__AG200__XI100__BO200,5000,0.1,2.0,1.0,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H05000__DX010__AG200__XI100__BO300,5000,0.1,2.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H05000__DX010__AG300__XI010__BO200,5000,0.1,3.0,0.1,2.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,True
H05000__DX010__AG300__XI010__BO300,5000,0.1,3.0,0.1,3.0,22,15,0.6818181818181818,15,0.6818181818181818,9,6,0.4,True
H05000__DX010__AG300__XI025__BO200,5000,0.1,3.0,0.25,2.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H05000__DX010__AG300__XI025__BO300,5000,0.1,3.0,0.25,3.0,22,17,0.7727272727272727,17,0.7727272727272727,10,7,0.4117647058823529,True
H05000__DX010__AG300__XI050__BO200,5000,0.1,3.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H05000__DX010__AG300__XI050__BO300,5000,0.1,3.0,0.5,3.0,22,19,0.8636363636363636,19,0.8636363636363636,12,7,0.3684210526315789,True
H05000__DX010__AG300__XI075__BO200,5000,0.1,3.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H05000__DX010__AG300__XI075__BO300,5000,0.1,3.0,0.75,3.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H05000__DX010__AG300__XI100__BO200,5000,0.1,3.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX010__AG300__XI100__BO300,5000,0.1,3.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,13,8,0.38095238095238093,True
H05000__DX010__AG500__XI010__BO200,5000,0.1,5.0,0.1,2.0,22,5,0.22727272727272727,5,0.22727272727272727,4,1,0.2,False
H05000__DX010__AG500__XI010__BO300,5000,0.1,5.0,0.1,3.0,22,4,0.18181818181818182,4,0.18181818181818182,4,0,0.0,False
H05000__DX010__AG500__XI025__BO200,5000,0.1,5.0,0.25,2.0,22,10,0.45454545454545453,10,0.45454545454545453,6,4,0.4,False
H05000__DX010__AG500__XI025__BO300,5000,0.1,5.0,0.25,3.0,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX010__AG500__XI050__BO200,5000,0.1,5.0,0.5,2.0,22,11,0.5,11,0.5,6,5,0.45454545454545453,False
H05000__DX010__AG500__XI050__BO300,5000,0.1,5.0,0.5,3.0,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX010__AG500__XI075__BO200,5000,0.1,5.0,0.75,2.0,22,12,0.5454545454545454,12,0.5454545454545454,7,5,0.4166666666666667,False
