trade_id,entry_time_utc,source_id,causal_rank,prior_20_profit_factor,prior_virtual_profit_factor,prior_consecutive_losses,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.38329598432346945,0,-3.982291666666667,True,-3.982291666666667
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,0.0,,0.8860630426114865,1,-4.006597222222222,True,-4.006597222222222
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.6547633580550127,8,-6.327940880607618,True,-6.327940880607618
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27T14:30:00.000Z,R1_PULLBACK,0.0,,1.2594074074074075,10,-5.819999999999999,True,-5.819999999999999
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29T11:45:00.000Z,R1_PULLBACK,0.0,,5.247393364928909,0,-3.8099999999999996,True,-3.8099999999999996
V9_BREAK_20240717T024000Z_SHORT,2024-07-17T02:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.4008078105987337,0,-5.910688466892245,True,2.2394354698303482
V9_BREAK_20240718T070500Z_LONG,2024-07-18T07:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.511974920098254,0,-4.417077028974225,True,-4.417077028974225
V7_20241007T082500Z_SHORT,2024-10-07T08:25:00.000Z,V7_SWING_HEALTH,0.0,,0.3638869043959852,1,-4.839140796303192,True,-4.839140796303192
V9_BREAK_20241024T075000Z_SHORT,2024-10-24T07:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.6430693745893092,1,-4.121659523873351,True,-4.121659523873351
V7_20250704T073500Z_LONG,2025-07-04T07:35:00.000Z,V7_SWING_HEALTH,0.0,,1.5181844322047024,2,-4.8879749332363716,True,-4.8879749332363716
V9_BREAK_20250924T000500Z_SHORT,2025-09-24T00:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,1.1786210768167134,0,-5.680395270063707,True,-5.680395270063707
V9_BREAK_20260126T011500Z_LONG,2026-01-26T01:15:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,0.9243323263130336,4,34.89570583224341,True,7.1140346082897
V9_BREAK_20260325T013500Z_LONG,2026-03-25T01:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,0.0,,1.5858922629934187,1,-25.591208720530712,True,-25.591208720530712
