component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-01 10:40:00,2022-07-01,2022-07-01 13:04:13,2022-07-01,SHORT,-3.93,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,2,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-01 10:45:00,2022-07-01,2022-07-01 13:04:14,2022-07-01,SHORT,-3.89,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,3,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-01 10:55:00,2022-07-01,2022-07-01 13:05:21,2022-07-01,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,4,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-01 16:55:00,2022-07-01,2022-07-01 17:46:01,2022-07-01,SHORT,-4.74,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,5,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-01 17:00:00,2022-07-01,2022-07-01 17:48:37,2022-07-01,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,6,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-04 15:35:00,2022-07-04,2022-07-04 23:03:00,2022-07-04,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,7,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-05 00:40:00,2022-07-05,2022-07-05 01:16:14,2022-07-05,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,8,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-05 08:00:00,2022-07-05,2022-07-05 11:17:24,2022-07-05,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,9,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-05 13:55:00,2022-07-05,2022-07-05 14:05:17,2022-07-05,SHORT,10.68,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,10,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-06 04:55:00,2022-07-06,2022-07-06 06:48:39,2022-07-06,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,11,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-06 15:55:00,2022-07-06,2022-07-06 19:15:38,2022-07-06,SHORT,-6.79,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,12,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-07 12:50:00,2022-07-07,2022-07-07 13:19:39,2022-07-07,SHORT,-4.4,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,13,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-11 00:40:00,2022-07-11,2022-07-11 17:29:24,2022-07-11,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,14,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-12 05:15:00,2022-07-12,2022-07-12 06:00:39,2022-07-12,SHORT,-3.57,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,15,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-13 23:40:00,2022-07-13,2022-07-14 03:05:36,2022-07-14,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,16,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-14 00:05:00,2022-07-14,2022-07-14 06:21:04,2022-07-14,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,17,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-14 00:20:00,2022-07-14,2022-07-14 06:21:16,2022-07-14,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,18,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-14 00:40:00,2022-07-14,2022-07-14 06:21:37,2022-07-14,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,19,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-14 04:55:00,2022-07-14,2022-07-14 06:57:37,2022-07-14,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,20,,,
r2_continuation_short_v1,r2_continuation_short_v1,r2_continuation_short_v1,r2_impulse_break15_30_cap20,xau_r2_continuation_short,102,r2_continuation_short_v1,0,r2_impulse_break15_30_cap20,2022-07-14 05:25:00,2022-07-14,2022-07-14 07:00:39,2022-07-14,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r2_continuation_short_v2_repair_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R2_CONTINUATION_SHORT_V2_REPAIR_EXACT_202207_202606_XAUUSD_M5_r2_impulse_break15_30_cap20_trades.csv,21,,,
