attempt_no,router_id,mechanic,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2023_trades,era_2021_2023_stress_net_r,era_2021_2023_stress_pf,era_2021_2023_average_stress_r,era_2021_2023_closed_drawdown_r,era_2023_2024_trades,era_2023_2024_stress_net_r,era_2023_2024_stress_pf,era_2023_2024_average_stress_r,era_2023_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
25239,0009b7c04ccf3370,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":3650,""minimum_history"":5,""threshold"":0.0,""weak_multiplier"":0.0}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25240,00131b6b5dc5cc1f,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":180,""minimum_history"":20,""threshold"":0.025,""weak_multiplier"":0.5}",0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
25241,00eb1740248b2a5e,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":20,""threshold"":0.0,""weak_multiplier"":0.5}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25242,0108f67f3777015f,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":1460,""minimum_history"":30,""threshold"":-0.05,""weak_multiplier"":0.25}",0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
25243,013727094c87f10b,TRAILING_MEAN_GATE,"{""cold_start"":""HALF"",""lookback_days"":730,""minimum_history"":30,""threshold"":0.025,""weak_multiplier"":0.0}",330,14.714191306504215,1.213616967745682,0.044588458504558226,3.612292323926651,81,2.041922801922835,1.1126612240425862,0.025208923480528826,3.612292323926651,105,5.270971057523404,1.2551949453827358,0.050199724357365756,3.3422442543337496,96,5.262855115781831,1.2728845569561,0.05482140745606074,3.2994418006379225,48,2.1384423312761474,1.1977102176587917,0.0445508819015864,3.3268727642671108,9.700353348594756,0.057916760078210755,48,1.1126612240425862,0.025208923480528826,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25244,014078a1f50387cb,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":0.05,""weak_multiplier"":0.5}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25245,01565f8f5614b432,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":0.1,""weak_multiplier"":0.0}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25246,016b0a99a4319184,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":20,""threshold"":0.1,""weak_multiplier"":0.25}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25247,01b343c461109984,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":730,""minimum_history"":15,""threshold"":0.025,""weak_multiplier"":0.25}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
25248,01b7ded6fb90cde5,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":10,""threshold"":0.05,""weak_multiplier"":0.5}",330,29.42838261300843,1.213616967745682,0.08917691700911645,7.224584647853302,81,4.08384560384567,1.1126612240425862,0.05041784696105765,7.224584647853302,105,10.541942115046808,1.2551949453827358,0.10039944871473151,6.684488508667499,96,10.525710231563663,1.2728845569561,0.10964281491212148,6.598883601275845,48,4.276884662552295,1.1977102176587917,0.0891017638031728,6.6537455285342215,19.400706697189513,0.057916760078210755,48,1.1126612240425862,0.05041784696105765,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,0.0864429254898668,True
