entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 01:15:00,2022-07-01,1,night,SHORT,2,0.01,1805.42,A1_M5_MOM_BEAR_M5_EM,2022.07.01 05:37:36,2022-07-01,5,night,2022-07-01,1,night,3,1798.40,7.02,1007.02,tp 1798.42
2022.07.01 06:25:00,2022-07-01,6,morning,SHORT,4,0.01,1797.77,A1_M5_MOM_BEAR_M5_EM,2022.07.01 11:18:20,2022-07-01,11,morning,2022-07-01,6,morning,5,1789.31,8.46,1015.48,tp 1789.31
2022.07.01 11:30:00,2022-07-01,11,morning,SHORT,6,0.01,1790.14,A1_M5_MOM_BEAR_M5_EM,2022.07.01 13:04:14,2022-07-01,13,afternoon,2022-07-01,11,morning,7,1794.11,-3.97,1011.51,sl 1794.10
2022.07.04 12:00:00,2022-07-04,12,afternoon,SHORT,8,0.01,1805.34,A1_M5_MOM_BEAR_M5_EM,2022.07.04 12:25:40,2022-07-04,12,afternoon,2022-07-04,12,afternoon,9,1808.87,-3.53,1007.98,sl 1808.84
2022.07.05 10:05:00,2022-07-05,10,morning,SHORT,10,0.01,1802.68,A1_M5_MOM_BEAR_M5_EM,2022.07.05 13:09:41,2022-07-05,13,afternoon,2022-07-05,10,morning,11,1795.65,7.03,1015.01,tp 1795.68
2022.07.05 13:25:00,2022-07-05,13,afternoon,SHORT,12,0.01,1794.89,A1_M5_MOM_BEAR_M5_EM,2022.07.05 14:01:42,2022-07-05,14,afternoon,2022-07-05,13,afternoon,13,1778.99,15.9,1030.91,tp 1779.01
2022.07.05 14:50:00,2022-07-05,14,afternoon,SHORT,14,0.01,1770.96,A1_M5_MOM_BEAR_M5_EM,2022.07.06 14:40:38,2022-07-06,14,afternoon,2022-07-05,14,afternoon,15,1750.86,20.1,1051.01,tp 1750.86
2022.07.06 14:45:00,2022-07-06,14,afternoon,SHORT,16,0.01,1751.07,A1_M5_MOM_BEAR_M5_EM,2022.07.06 15:57:41,2022-07-06,15,afternoon,2022-07-06,14,afternoon,17,1732.79,18.28,1069.29,tp 1732.80
2022.07.06 22:45:00,2022-07-06,22,night,SHORT,18,0.01,1739.13,A1_M5_MOM_BEAR_M5_EM,2022.07.07 00:50:59,2022-07-07,0,night,2022-07-06,22,night,19,1742.64,-3.51,1065.78,sl 1742.63
2022.07.07 06:45:00,2022-07-07,6,morning,SHORT,20,0.01,1744.74,A1_M5_MOM_BEAR_M5_EM,2022.07.07 13:50:14,2022-07-07,13,afternoon,2022-07-07,6,morning,21,1748.25,-3.51,1062.27,sl 1748.24
