timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2021.07.02 12:00:00	2021.07.02 12:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1785.88	1785.93	5	1785.88	0.00	0.00	3255.00	0.0015	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.07.02 20:00:00	2021.07.02 20:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1787.84	1787.96	12	1787.84	0.00	0.00	3451.00	0.0035	0		0	0	0.00	blocked_entry_day_hour	
2021.07.06 04:00:00	2021.07.06 04:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1797.34	1797.35	1	1797.34	0.00	0.00	1287.00	0.0008	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.06 08:00:00	2021.07.06 08:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1807.43	1807.52	9	1807.42	0.00	0.00	2295.00	0.0039	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.14 16:00:00	2021.07.14 16:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1822.61	1822.66	5	1822.61	0.00	0.00	3096.00	0.0016	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.14 20:00:00	2021.07.14 20:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1827.32	1827.46	14	1827.31	0.00	0.00	3566.00	0.0039	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.15 08:00:00	2021.07.15 08:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1830.80	1830.89	9	1830.80	0.00	0.00	3220.00	0.0028	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.19 08:00:00	2021.07.19 08:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1805.92	1806.05	13	1805.93	0.00	0.00	2555.00	0.0051	0		0	0	0.00	direction_mode_block	
2021.07.19 12:00:00	2021.07.19 12:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1800.56	1800.61	5	1800.59	0.00	0.00	3089.00	0.0016	0		0	0	0.00	direction_mode_block	
2021.07.20 04:00:00	2021.07.20 04:00:00	A1_XAU_H4_PROFIT_RETENTION_HEAT_6PCT_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1817.31	1817.38	7	1817.31	0.00	0.00	2233.00	0.0031	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
