timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2021.07.02 12:00:00	2021.07.02 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1785.88	1785.93	5	1785.88	0.00	0.00	3255.00	0.0015	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.07.06 04:00:00	2021.07.06 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1797.34	1797.35	1	1797.34	0.00	0.00	1287.00	0.0008	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.14 16:00:00	2021.07.14 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1822.61	1822.66	5	1822.61	0.00	0.00	3096.00	0.0016	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.15 08:00:00	2021.07.15 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1830.80	1830.89	9	1830.80	0.00	0.00	3220.00	0.0028	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.19 08:00:00	2021.07.19 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1805.92	1806.05	13	1805.93	0.00	0.00	2555.00	0.0051	0		0	0	0.00	direction_mode_block	
2021.07.20 04:00:00	2021.07.20 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1817.31	1817.38	7	1817.31	0.00	0.00	2233.00	0.0031	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.20 12:00:00	2021.07.20 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1817.68	1817.76	8	1817.74	0.00	0.00	2276.00	0.0035	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.07.29 04:00:00	2021.07.29 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1814.98	1815.08	10	1815.00	0.00	0.00	2264.00	0.0044	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.08.02 08:00:00	2021.08.02 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1808.03	1808.21	18	1808.03	0.00	0.00	2331.00	0.0077	0		0	0	0.00	direction_mode_block	
2021.08.05 16:00:00	2021.08.05 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1804.20	1804.29	9	1804.19	0.00	0.00	2746.00	0.0033	0		0	0	0.00	direction_mode_block	
2021.08.06 16:00:00	2021.08.06 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1761.98	1762.08	10	1761.98	0.00	0.00	6967.00	0.0014	0		0	0	0.00	direction_mode_block	
2021.08.16 16:00:00	2021.08.16 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1786.07	1786.25	18	1786.06	0.00	0.00	3437.00	0.0052	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
