run,timeframe,timestamp,raw_signed_spread,unsigned_32_diagnostic,open,high,low,close,tick_volume,real_volume
run2,H1,2025-06-18T12:00:00,-338829,4294628467,3381.96,3389.7800000000002,3381.5500000000002,3386.5599999999999,11924,0
run2,H1,2025-06-18T13:00:00,-339654,4294627642,3386.48,3396.7199999999998,3385.5900000000001,3392.1999999999998,14013,0
run2,H1,2025-06-18T14:00:00,-338835,4294628461,3392.1900000000001,3392.3000000000002,3373.7800000000002,3386.79,20440,0
run2,H1,2025-06-18T15:00:00,-338527,4294628769,3386.8600000000001,3392.7600000000002,3381.1799999999998,3392.6300000000001,10972,0
run2,H1,2025-06-18T16:00:00,-339404,4294627892,3392.6300000000001,3394.5900000000001,3389.9099999999999,3390.9000000000001,8078,0
run2,H1,2025-06-18T17:00:00,-339031,4294628265,3390.8699999999999,3391.1599999999999,3384.3600000000001,3385.2800000000002,7391,0
run2,H1,2025-09-29T14:00:00,-382697,4294584599,3821.3899999999999,3830.4200000000001,3816.71,3828.1199999999999,24229,0
run2,H1,2025-09-29T15:00:00,-382990,4294584306,3828.1399999999999,3833.1300000000001,3821.02,3830.3000000000002,18993,0
run2,H1,2025-11-17T01:00:00,-409593,4294557703,4083.0999999999999,4101.9200000000001,4082.48,4091.1599999999999,20663,0
run2,H1,2025-11-17T02:00:00,-408405,4294558891,4091.0999999999999,4093.5799999999999,4080.5999999999999,4081.7600000000002,18305,0
run2,H1,2025-11-17T04:00:00,-408569,4294558727,4083.1300000000001,4087.9000000000001,4076.8400000000001,4078.5300000000002,9751,0
run2,H1,2025-11-17T05:00:00,-407565,4294559731,4078.54,4078.6799999999998,4049.6500000000001,4058.2199999999998,17599,0
run2,H1,2025-11-17T06:00:00,-406661,4294560635,4058.23,4071.7399999999998,4054.6900000000001,4066.02,16412,0
run2,H1,2025-11-17T07:00:00,-407600,4294559696,4065.9299999999998,4089.1599999999999,4065.1500000000001,4088.1599999999999,12279,0
run2,H1,2025-11-17T08:00:00,-409355,4294557941,4088.1999999999998,4096,4072.0599999999999,4077.3200000000002,16438,0
run2,H1,2025-11-17T09:00:00,-408196,4294559100,4077.3699999999999,4088.73,4072.1100000000001,4081.96,14153,0
run2,H1,2025-11-17T10:00:00,-408723,4294558573,4081.9200000000001,4089.3800000000001,4068.4400000000001,4070.21,14465,0
run2,H1,2025-11-17T11:00:00,-408064,4294559232,4070.23,4085.77,4061.0999999999999,4078.3600000000001,17078,0
run2,H1,2025-11-17T12:00:00,-407892,4294559404,4078.4000000000001,4085.1999999999998,4074.5799999999999,4077.0799999999999,13521,0
run2,H1,2026-04-14T02:00:00,-477636,4294489660,4764.54,4777.0799999999999,4761.9799999999996,4774.79,14247,0
run2,H1,2026-04-14T05:00:00,-476545,4294490751,4774.0200000000004,4774.0500000000002,4757.79,4759.9099999999999,14436,0
run2,H1,2026-04-14T06:00:00,-477745,4294489551,4759.9300000000003,4782.8699999999999,4759.9200000000001,4782.0600000000004,16164,0
run2,H1,2026-04-14T07:00:00,-479207,4294488089,4782.0299999999997,4796.3500000000004,4767.5699999999997,4776.3199999999997,18887,0
run2,H4,2025-06-18T00:00:00,-338975,4294628321,3387.2600000000002,3391.4200000000001,3370.5700000000002,3390.9400000000001,36183,0
run2,H4,2025-06-18T04:00:00,-339265,4294628031,3390.9400000000001,3399.9299999999998,3377,3385.8200000000002,38030,0
run2,H4,2025-06-18T08:00:00,-338586,4294628710,3385.8099999999999,3388.29,3375.4499999999998,3381.9699999999998,34796,0
run2,H4,2025-06-18T12:00:00,-339654,4294627642,3381.96,3396.7199999999998,3373.7800000000002,3392.6300000000001,57349,0
run2,H4,2025-06-18T16:00:00,-339404,4294627892,3392.6300000000001,3395.77,3362.8899999999999,3366.6799999999998,53441,0
run2,H4,2025-09-29T12:00:00,-382990,4294584306,3828.8899999999999,3833.1300000000001,3809.21,3830.3000000000002,87661,0
run2,H4,2025-11-17T00:00:00,-409593,4294557703,4096.29,4101.9200000000001,4069.9299999999998,4082.9899999999998,71848,0
run2,H4,2025-11-17T04:00:00,-408569,4294558727,4083.1300000000001,4089.1599999999999,4049.6500000000001,4088.1599999999999,56041,0
run2,H4,2025-11-17T08:00:00,-409355,4294557941,4088.1999999999998,4096,4061.0999999999999,4078.3600000000001,62134,0
run2,H4,2025-11-17T12:00:00,-407892,4294559404,4078.4000000000001,4092.1500000000001,4060.5700000000002,4064.1700000000001,92802,0
run2,H4,2026-04-14T00:00:00,-477636,4294489660,4757.6599999999999,4777.0799999999999,4751.46,4767.9899999999998,63467,0
run2,H4,2026-04-14T04:00:00,-479207,4294488089,4768,4796.3500000000004,4757.79,4776.3199999999997,56983,0
run2,D1,2025-06-18T00:00:00,-339654,4294627642,3387.2600000000002,3399.9299999999998,3362.5,3374.9899999999998,237370,0
run2,D1,2025-09-29T00:00:00,-382990,4294584306,3766.8000000000002,3834.0799999999999,3763.9000000000001,3832.77,325864,0
run2,D1,2025-11-17T00:00:00,-409593,4294557703,4096.29,4101.9200000000001,4006.6999999999998,4036.6999999999998,411128,0
run2,D1,2026-04-14T00:00:00,-479207,4294488089,4757.6599999999999,4850.7799999999997,4751.46,4834.9899999999998,372815,0
